Date,Match_Id,Match_No,State,Status,Team1_TeamId,Team1_TeamName,Team2_TeamId,Team2_TeamName,Ground,City,Team1_Score_InningsId,Team1_Score,Team1_Score_Wickets,Team1_Score_Overs,Team2_Score_InningsId,Team2_Score,Team2_Score_Wickets,Team2_Score_Overs,Index
22-03-2024,89654,1st Match,complete,Chennai Super Kings won by 6 wkts,58,CHENNAI SUPER KINGS,59,ROYAL CHALLENGERS BENGALURU,MA Chidambaram Stadium,Chennai,2,176,4,18.4,1,173,6,20,1
23-03-2024,89661,2nd Match,complete,Punjab Kings won by 4 wkts,65,PUNJAB KINGS,61,DELHI CAPITALS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Chandigarh,2,177,6,19.2,1,174,9,20,2
23-03-2024,89665,3rd Match,complete,Kolkata Knight Riders won by 4 runs,63,KOLKATA KNIGHT RIDERS,255,SUNRISERS HYDERABAD,Eden Gardens,Kolkata,1,208,7,20,2,204,7,20,3
24-03-2024,89668,4th Match,complete,Rajasthan Royals won by 20 runs,64,RAJASTHAN ROYALS,966,LUCKNOW SUPER GIANTS,Sawai Mansingh Stadium,Jaipur,1,193,4,20,2,173,6,20,4
24-03-2024,89675,5th Match,complete,Gujarat Titans won by 6 runs,971,GUJARAT TITANS,62,MUMBAI INDIANS,Narendra Modi Stadium,Ahmedabad,1,168,6,20,2,162,9,20,5
25-03-2024,89682,6th Match,complete,Royal Challengers Bengaluru won by 4 wkts,59,ROYAL CHALLENGERS BENGALURU,65,PUNJAB KINGS,M.Chinnaswamy Stadium,Bengaluru,2,178,6,19.2,1,176,6,20,6
26-03-2024,89689,7th Match,complete,Chennai Super Kings won by 63 runs,58,CHENNAI SUPER KINGS,971,GUJARAT TITANS,MA Chidambaram Stadium,Chennai,1,206,6,20,2,143,8,20,7
27-03-2024,89693,8th Match,complete,Sunrisers Hyderabad won by 31 runs,255,SUNRISERS HYDERABAD,62,MUMBAI INDIANS,Rajiv Gandhi International Stadium,Hyderabad,1,277,3,20,2,246,5,20,8
28-03-2024,89700,9th Match,complete,Rajasthan Royals won by 12 runs,64,RAJASTHAN ROYALS,61,DELHI CAPITALS,Sawai Mansingh Stadium,Jaipur,1,185,5,20,2,173,5,20,9
29-03-2024,89703,10th Match,complete,Kolkata Knight Riders won by 7 wkts,59,ROYAL CHALLENGERS BENGALURU,63,KOLKATA KNIGHT RIDERS,M.Chinnaswamy Stadium,Bengaluru,1,182,6,20,2,186,3,16.5,10
